date,area_type,avg_d_kbps,avg_u_kbps,log_light_intensity
2020-12-25,emerging,672.0,4972.0,0.06765864847381481
2020-12-26,emerging,16364.0,3099.0,0.03903576771007774
2020-12-27,emerging,12218.0,10471.0,0.0295588022415444
2020-12-28,emerging,3056.0,2398.0,0.009950330853168083
2020-12-29,emerging,8289.0,1825.0,0.05826890812397577
2020-12-30,emerging,4220.0,8678.0,0.06765864847381481
2020-12-31,emerging,16861.0,8859.5,0.03880448966349145
2021-01-01,emerging,28104.0,5773.0,0.05826890812397577
2021-01-02,emerging,11038.0,20332.0,0.04860872535767961
2021-01-03,emerging,13164.0,5410.0,0.06765864847381481
2021-01-04,emerging,29110.0,18333.0,0.039220713153281295
2021-01-05,emerging,4726.0,9157.0,0.039220713153281295
2021-01-12,emerging,19848.0,5348.0,0.05826890812397577
2021-01-13,emerging,22103.0,8541.0,0.019802627296179712
2021-01-14,emerging,6464.0,6789.0,
2021-01-15,emerging,10902.333333333334,7460.0,0.048790164169432
2021-01-16,emerging,6661.0,6307.0,
2021-01-17,emerging,6943.666666666667,5322.666666666667,0.06765864847381481
2021-01-18,emerging,14556.0,3418.0,0.05826890812397577
2021-01-20,emerging,8041.0,2113.0,0.0295588022415444
2021-01-21,emerging,23264.0,8280.333333333334,0.03880448966349145
2021-01-23,emerging,24763.0,9343.5,0.06765864847381481
2021-01-24,emerging,18739.5,12418.0,0.048790164169432
2021-01-25,emerging,13839.333333333334,5659.333333333333,0.043913855182760086
2021-01-26,emerging,30667.0,16539.0,
2021-01-27,emerging,12487.5,5658.5,0.048790164169432
2021-01-28,emerging,23814.5,12002.0,
2021-01-29,emerging,19936.5,8657.5,0.0295588022415444
2021-01-30,emerging,19490.0,15020.25,0.048790164169432
2021-01-31,emerging,22847.666666666668,10905.666666666666,0.0295588022415444
2021-02-01,emerging,20476.25,10330.25,0.05352953614670389
2021-02-02,emerging,13647.0,9123.75,0.048790164169432
2021-02-03,emerging,12028.666666666666,6023.0,0.0582244063216234
2021-02-04,emerging,26089.5,19297.5,0.019802627296179712
2021-02-05,emerging,36749.0,10656.0,0.019802627296179712
2021-02-06,emerging,21482.5,4120.0,0.03429639573280586
2021-02-07,emerging,24267.5,10757.5,0.0391744832054882
2021-02-08,emerging,9797.5,5136.5,0.01975456654735624
2021-02-09,emerging,14830.0,3306.0,0.06765864847381481
2021-02-11,emerging,4416.0,2262.0,0.06765864847381481
2021-02-12,emerging,18672.0,6090.0,0.05826890812397577
2021-02-13,emerging,8886.0,3195.0,0.06765864847381481
2021-02-14,emerging,8966.0,3438.0,0.06765864847381481
2021-02-15,emerging,2145.0,700.0,0.019802627296179712
2021-02-16,emerging,9298.0,10244.0,0.06765864847381481
2021-02-17,emerging,1031.0,990.0,0.05826890812397577
2021-02-18,emerging,1756.0,6445.0,0.009950330853168083
2021-02-19,emerging,8920.333333333334,7231.0,0.029463919053243557
2021-02-20,emerging,16053.0,5906.0,0.03438975769741285
2021-02-21,emerging,12742.75,4164.75,0.051706641414603106
2021-02-22,emerging,19200.0,15794.0,0.039220713153281295
2021-02-23,emerging,6748.75,1615.0,0.061369153705687206
2021-02-24,emerging,20903.666666666668,9238.0,0.04373063788499726
2021-02-25,emerging,20958.333333333332,11299.666666666666,0.03429639573280586
2021-02-26,emerging,18531.666666666668,11166.0,0.05343968081354805
2021-02-27,emerging,27976.0,13845.0,
2021-02-28,emerging,6378.0,7394.0,0.039220713153281295
2021-03-02,emerging,20369.0,24181.0,0.0295588022415444
2021-03-03,emerging,18998.5,6009.5,0.05352953614670389
2021-03-04,emerging,38079.666666666664,15008.0,0.029370247511300043
2021-03-05,emerging,20086.0,9493.666666666666,0.0391744832054882
2021-03-06,emerging,13186.0,2649.0,0.048790164169432
2021-03-07,emerging,16973.5,5506.5,0.055079658937559596
2021-03-08,emerging,13848.0,5796.25,0.045292629150319556
2021-03-09,emerging,16915.5,7841.25,0.04875992848222969
2021-03-10,emerging,8983.6,5164.4,0.050999773004486514
2021-03-11,emerging,15149.333333333334,4640.666666666667,0.029370247511300043
2021-03-12,emerging,11100.666666666666,3997.3333333333335,0.014876479074673897
2021-03-13,emerging,14270.6,11597.4,0.048536698893733604
2021-03-14,emerging,19086.75,6662.25,0.048698872829831985
2021-03-15,emerging,14902.333333333334,7772.333333333333,0.06765864847381481
2021-03-16,emerging,18130.8,18653.0,0.03894323082675473
2021-03-17,emerging,11274.8,4401.2,0.039189893188085904
2021-03-18,emerging,12141.5,4207.25,0.05343968081354805
2021-03-19,emerging,22527.0,11352.5,0.029511670224730502
2021-03-20,emerging,18925.333333333332,3911.6666666666665,0.014876479074673897
2021-03-21,emerging,13773.0,6204.0,0.029370247511300043
2021-03-22,emerging,14777.25,5297.5,0.014876479074673897
2021-03-23,emerging,16743.0,9074.0,0.014876479074673897
2021-03-24,emerging,18679.0,3388.5,0.048790164169432
2021-03-25,emerging,10051.333333333334,3826.3333333333335,0.044005438661356644
2021-03-26,emerging,7061.333333333333,2037.3333333333333,0.05352953614670389
2021-03-27,emerging,9953.25,2827.0,0.035937834872964335
2021-03-28,emerging,10159.5,3747.5,0.05510932680579451
2021-03-29,emerging,8816.25,2526.0,0.05182878627977833
2021-03-30,emerging,34615.0,8832.0,0.0295588022415444
2021-03-31,emerging,11041.666666666666,5863.333333333333,0.026181040772926597
2021-04-01,emerging,18546.0,3209.0,0.03410961948857193
2021-04-02,emerging,20332.5,16109.0,0.03903576771007774
2021-04-03,emerging,49634.0,15869.0,0.048790164169432
2021-04-04,emerging,14115.5,2757.0,0.05352953614670389
2021-04-05,emerging,6186.5,11806.0,0.03429639573280586
2021-04-06,emerging,6213.0,6280.0,0.04237971019346947
2021-04-07,emerging,10886.333333333334,2203.6666666666665,0.04234947450626716
2021-04-08,emerging,12327.0,3761.0,0.05343968081354805
2021-04-09,emerging,11287.0,2614.3333333333335,0.06452873502386847
2021-04-10,emerging,15337.666666666666,10311.666666666666,0.013234429667505293
2021-04-11,emerging,19037.0,8284.333333333334,0.0421627157003732
2021-04-12,emerging,10555.0,5695.333333333333,0.048576727964656764
2021-04-13,emerging,9341.5,4044.0,0.05182878627977833
2021-04-14,emerging,12123.5,2705.5,0.0391744832054882
2021-04-15,emerging,8602.5,2865.0,0.044005438661356644
2021-04-16,emerging,15716.0,6413.5,0.04860872535767961
2021-04-17,emerging,6965.0,270.0,0.05826890812397577
2021-04-18,emerging,10657.0,2121.0,0.05826890812397577
2021-04-19,emerging,11532.0,2108.0,0.05826890812397577
2021-04-20,emerging,1013.0,916.0,0.05826890812397577
2021-04-21,emerging,9691.0,2022.0,0.05826890812397577
2021-04-22,emerging,9120.5,1968.5,0.0629637782988953
2021-04-23,emerging,1418.0,422.0,0.009950330853168083
2021-04-24,emerging,15665.0,20231.5,0.0582244063216234
2021-04-25,emerging,6697.333333333333,1490.3333333333333,0.03259268040622942
2021-04-26,emerging,10854.0,2084.0,0.048790164169432
2021-04-27,emerging,10149.0,12423.0,0.0582244063216234
2021-04-28,emerging,12913.0,2794.5,0.03438975769741285
2021-04-29,emerging,8315.0,2470.0,0.019802627296179712
2021-04-30,emerging,10565.0,2074.0,0.05826890812397577
2021-05-01,emerging,10910.0,1980.0,0.0295588022415444
2021-05-02,emerging,19240.0,3786.0,0.05826890812397577
2021-05-04,emerging,21089.0,4220.0,
2021-05-05,emerging,7302.666666666667,20616.0,0.039220713153281295
